#               time[s]          Temperature [GK]                tau_ga [s]                tau_ag [s]                tau_ng [s]                tau_gn [s]                tau_pg [s]                tau_gp [s]                tau_np [s]                tau_pn [s]                tau_an [s]                tau_na [s]                tau_ap [s]                tau_pa [s]              tau_beta [s]             tau_alpha [s]             tau_nfiss [s]             tau_sfiss [s]             tau_bfiss [s]
 4.9100499874244585E-01    6.9999999929999444E+00    6.5928556484180591E-06    6.5821913174990007E-06    5.2016431959509378E-12    4.9740953352728737E-12    3.9523956359917812E-07    3.9518985275856816E-07    8.8668826552702705E-10    8.9520954676657158E-10    7.6372142380654739E-10    7.6141360859816235E-10    1.5979988587425420E-06    1.5551148901152890E-06    9.5558509383593959E-01    3.9243102278897485E+18    3.9243102278897485E+18    3.9243102278897485E+18    3.9243102278897485E+18
 4.9100499874247777E-01    6.9999999929991379E+00    6.5955402334088479E-06    6.5819088078482348E-06    5.2052635027570770E-12    5.1236551181584158E-12    3.9509889153707938E-07    3.9518364399146117E-07    8.8812445083591564E-10    8.9509954273735557E-10    7.6366928159271198E-10    7.6266404588927764E-10    1.5947265437280570E-06    1.5569408289524252E-06    9.5588734331755820E-01    3.9243105524734520E+18    3.9243105524734520E+18    3.9243105524734520E+18    3.9243105524734520E+18
 4.9100499874253017E-01    6.9999999929978154E+00    6.5989907271800256E-06    6.5820253364584611E-06    5.2085912097346209E-12    5.2198339501693679E-12    3.9495647524664414E-07    3.9519326587343768E-07    8.8942538550414396E-10    8.9493429411387319E-10    7.6359988911990594E-10    7.6350217106901302E-10    1.5926813875385058E-06    1.5586588537701949E-06    9.5608774013920839E-01    3.9243106991036948E+18    3.9243106991036948E+18    3.9243106991036948E+18    3.9243106991036948E+18
 4.9100499874265879E-01    6.9999999929945664E+00    6.6039303419219533E-06    6.5826600508285187E-06    5.2140967933701647E-12    5.2625650797932821E-12    3.9476261137197178E-07    3.9534336545546589E-07    8.9122871505344486E-10    8.9460186551448052E-10    7.6350175304538427E-10    7.6380899104374262E-10    1.5920249123811175E-06    1.5609059436858475E-06    9.5612736501033868E-01    3.9243105131877386E+18    3.9243105131877386E+18    3.9243105131877386E+18    3.9243105131877386E+18
 4.9100499874296183E-01    6.9999999929869148E+00    6.6088349534512307E-06    6.5836187298312142E-06    5.2235271185418233E-12    5.2630410919569473E-12    3.9460786173741395E-07    3.9622860637867753E-07    8.9463269633429935E-10    8.9428487062919102E-10    7.6342986964619609E-10    7.6385921828703068E-10    1.5924053183428775E-06    1.5638731337468370E-06    9.5592393468555792E-01    3.9243097492531451E+18    3.9243097492531451E+18    3.9243097492531451E+18    3.9243097492531451E+18
 4.9100499874511411E-01    6.9999999929325618E+00    6.6023546771300123E-06    6.5884016105387316E-06    5.2418588250292403E-12    5.2468272804533403E-12    3.9669640838877239E-07    4.0041458891002249E-07    9.0312536466826428E-10    8.9865805756111196E-10    7.6357923099415524E-10    7.6449370690682479E-10    1.5977133586517793E-06    1.5696404040818198E-06    9.5546333432999253E-01    3.9242977172831462E+18    3.9242977172831462E+18    3.9242977172831462E+18    3.9242977172831462E+18
 4.9100499913817769E-01    6.9999999830064459E+00    6.6291956560575655E-06    6.6030311686302066E-06    5.2067919185940203E-12    5.2069303257879098E-12    3.9699490862348224E-07    3.9718998682287491E-07    8.9905696888033054E-10    8.9905676675198597E-10    7.6477698894863550E-10    7.6617019529221230E-10    1.5817655020839228E-06    1.5723875462603840E-06    9.5498150958137118E-01    3.9216279906942515E+18    3.9216279906942515E+18    3.9216279906942515E+18    3.9216279906942515E+18
 4.9100535894762054E-01    6.9999908966694813E+00    6.6566318730477742E-06    6.6451634416694315E-06    5.1289705454729492E-12    5.1289704548274886E-12    3.9763964428904214E-07    3.9813989874806508E-07    8.9893765579181791E-10    8.9893985209219387E-10    7.7035305282397132E-10    7.7035262910285228E-10    1.5791607204484574E-06    1.5780822994822978E-06    9.5133932608694971E-01    3.9081112965189233E+18    3.9081112965189233E+18    3.9081112965189233E+18    3.9081112965189233E+18
 4.9137380381710227E-01    6.9906926746334586E+00    6.7758306244851090E-06    6.7642068855523992E-06    5.0316098603854001E-12    5.0316097808056605E-12    4.1029082245174133E-07    4.1079803956801170E-07    9.2538109122975190E-10    9.2538326893811873E-10    7.8305011964186762E-10    7.8304970362354533E-10    1.6370714299750336E-06    1.6358603901180158E-06    9.4582446566186662E-01    3.8616140908251878E+18    3.8616140908251878E+18    3.8616140908251878E+18    3.8616140908251878E+18
 4.9470157245221869E-01    6.9072693377689252E+00    7.4261288915052516E-06    7.4134156251317342E-06    4.1028532135246266E-12    4.1028531839205797E-12    4.8528610485928986E-07    4.8580882339321683E-07    1.1039376792228725E-09    1.1039396768569486E-09    8.4643054228903361E-10    8.4642987044076741E-10    2.2070268875351177E-06    2.2043561841246078E-06    8.4704136150473530E-01    3.2581026242835267E+18    3.2581026242835267E+18    3.2581026242835267E+18    3.2581026242835267E+18
 4.9800000000000000E-01    6.8255639863141786E+00    8.5000638948147388E-06    8.4857147470619352E-06    3.4340109496028083E-12    3.4340109324227383E-12    5.9892036205528749E-07    5.9945226639909111E-07    1.3759326022537553E-09    1.3759341920889415E-09    9.5638832754708549E-10    9.5638756892112919E-10    3.1103810736339764E-06    3.1042579137124807E-06    7.5936014092824000E-01    2.7623609227418240E+18    2.7623609227418240E+18    2.7623609227418240E+18    2.7623609227418240E+18
 5.0136918161805144E-01    6.7431037051735832E+00    1.0205140698734245E-05    1.0188422336849928E-05    2.9187342406145107E-12    2.9187342345713800E-12    7.7780931956965540E-07    7.7830132014821483E-07    1.8013449799328292E-09    1.8013453640628616E-09    1.1320786817082616E-09    1.1320775360580843E-09    4.6204195718539826E-06    4.6054949585428506E-06    6.8067317829533958E-01    2.3485415394131932E+18    2.3485415394131932E+18    2.3485415394131932E+18    2.3485415394131932E+18
 5.0474060676955423E-01    6.6615857168655088E+00    1.2817830928597248E-05    1.2797824293869592E-05    2.5196101038926038E-12    2.5196101021782405E-12    1.0598018215092827E-06    1.0600905595934061E-06    2.4623865198140283E-09    2.4623836275195134E-09    1.3985553168082895E-09    1.3985536705130324E-09    7.1792606603270573E-06    7.1414844147125238E-06    6.1171833392216068E-01    2.0114238964530890E+18    2.0114238964530890E+18    2.0114238964530890E+18    2.0114238964530890E+18
